Hot Sauce,Brand Name,Ingredients
Tapatío Hot Sauce,Tapatío,"WATER, RED PEPPERS, SALT, SPICES, GARLIC, ACETIC ACID, XANTHAN GUM. SODIUM BENZOATE"
Texas Pete Original Hot Sauce,Texas Pete,"Vinegar, Aged Peppers (Peppers, Salt, Vinegar), Water, Xanthan Gum and Benzoate of Soda"
The Donis Cadejo Hot Sauce,Donis,"Distilled White Vinegar, Mango, Onion, Carrot, Habañero Pepper, Olive Oil, Salt, Pepper, and Spices"
The Original Goat Ginger Goat Hot Sauce,Goat Ginger,"Apple cider vinegar, smoked pineapple, ginger, pineapple, carrot, lime juice concentrate, Carolina Reaper pepper, smoked onion, smoked garlic (olive oil, garlic), sugars (brown sugar), kosher salt, cilantro, turmeric"
Torchbearer Garlic Reaper Hot Sauce,Torchbearer Sauces,"Carolina reaper pepper, garlic, canola oil, water, distilled white vinegar, lime juice, granulated garlic, mustard powder, chili powder, salt"
Torchbearer Headless Horseradish Hot Sauce,Torchbearer Sauces,"horseradish, Ghost Pepper, garlic, canola oil, water, Chipotle peppers, lemon juice, distilled white vinegar, Djon mustard, horseradish powder, salt, chili powder, black pepper"
Torchbearer Sauces Honey Badger Hot Sauce,Torchbearer Sauces,"Apple cider vinegar, Scorpion pepper, honey, distilled white vinegar, water, canola oil, brown sugar, mustard powder, Carolina Reaper pepper, white sugar, cayenne pepper powder, black pepper, turmeric, mustard seed, granulated garlic, salt, garlic"
Torchbearer Sauces Mushroom Mayhem Hot Sauce,Torchbearer Sauces,"Red wine vinegar, tomato paste, water, habanero pepper, brown sugar, scorpion pepper, mandarin orange, horseradish, garlic, molasses, black pepper, salt, shiitake mushroom powder, portobello mushroom powder, allspice, paprika"
Torchbearer Son of Zombie Wing Sauce,Torchbearer Sauces,"Honey, apple cider vinegar, tomato paste, water, garlic, ghost pepper, habanero, distilled white vinegar, brown sugar, canola oil, lemon juice, molasses, mandarin orange, diced tomato, carrots, mustard powder, turmeric, garlic powder, onions, salt, crushed red pepper, white sugar, chili powder, oregano, black pepper"
Torchbearer Zombie Apocalypse Ghost Chili Sauce,Torchbearer Sauces,"Bhut Jolokia Peppers, Habanero Peppers, Carrot, Mandarin Orange, Tomatoes, Distilled White Vinegar, Vegetable Oil, Garlic, Sugar, and other all natural spices"
Valentina Black Label Hot Sauce,Valentina,"Water, chile peppers, vinegar, salt, spices, 0.1% sodium benzoate"
Volcanic Peppers Thor's Hammer Super Hot Sauce,Volcanic Peppers,"red and chocolate ghost, 7-Pot Douglah, Carolina Reaper, Moruga Scorpion, Jigsaw, Thai, vinegar, garlic, sugar, salt, spices and chia seeds"
Wiltshire Chilli Farm Trinidad Scorpion Hot Sauce,Wiltshire Chilli Farm,"Trinidad Moruga Scorpion, Hatari Pepper, Habañero, Piquin, Ring of Fire, Peri-Peri, Tepin and Jalapeño Peppers, garlic, ginger, spices, salt, lemon, lime and orange juices and vinegar"
Yellowbird Bliss & Vinegar Hot Sauce,Yellowbird,"Organic distilled vinegar, organic red serrano peppers, organic rice bran oil, strawberries, organic dates, organic coconut cream (organic coconut kernel extract, water), salt, onions, cinnamon, ginger"
